iter	Passed	Remaining
408	4542	2121
409	4549	2108
410	4557	2095
411	4564	2082
412	4572	2070
413	4580	2057
414	4589	2045
415	4596	2033
416	4605	2020
417	4613	2008
418	4622	1996
419	4630	1984
420	4638	1972
421	4646	1959
422	4654	1947
423	4662	1935
424	4671	1923
425	4679	1911
426	4687	1899
427	4694	1886
428	4702	1874
429	4709	1862
430	4717	1849
431	4724	1837
432	4731	1824
433	4739	1812
434	4746	1800
435	4753	1787
436	4760	1775
437	4767	1763
438	4774	1751
439	4782	1738
440	4789	1726
441	4795	1714
442	4803	1702
443	4810	1690
444	4818	1678
445	4825	1666
446	4833	1654
447	4843	1643
448	4850	1631
449	4857	1619
450	4865	1607
451	4872	1595
452	4880	1583
453	4888	1572
454	4896	1560
455	4905	1548
456	4913	1537
457	4921	1525
458	4929	1514
459	4936	1502
460	4944	1490
461	4952	1479
462	4967	1469
463	4974	1458
464	4982	1446
465	4989	1434
466	4997	1423
467	5005	1411
468	5013	1400
469	5022	1389
470	5030	1377
471	5038	1366
472	5045	1354
473	5052	1343
474	5059	1331
475	5067	1320
476	5075	1308
477	5082	1297
478	5089	1285
479	5096	1274
480	5104	1262
481	5112	1251
482	5119	1240
483	5126	1228
484	5134	1217
485	5141	1206
486	5148	1194
487	5155	1183
488	5163	1172
489	5170	1160
490	5177	1149
491	5186	1138
492	5193	1127
493	5201	1116
494	5209	1105
495	5217	1094
496	5224	1082
497	5232	1071
498	5239	1060
499	5247	1049
500	5254	1038
501	5260	1027
502	5268	1015
503	5275	1004
504	5283	993
505	5290	982
506	5297	971
507	5305	960
508	5312	949
509	5319	938
510	5326	927
511	5334	916
512	5342	905
513	5349	895
514	5356	884
515	5363	873
516	5371	862
517	5379	851
518	5387	840
519	5395	830
520	5404	819
521	5413	808
522	5421	798
523	5430	787
524	5439	777
525	5450	766
526	5459	756
527	5466	745
528	5473	734
529	5481	723
530	5488	713
531	5495	702
532	5503	691
533	5510	681
534	5517	670
535	5524	659
536	5532	649
537	5539	638
538	5546	627
539	5555	617
540	5563	606
541	5571	596
542	5581	585
543	5590	575
544	5597	564
545	5605	554
546	5612	543
547	5620	533
548	5627	522
549	5634	512
550	5640	501
551	5647	491
552	5655	480
553	5661	470
554	5668	459
555	5675	449
556	5683	438
557	5690	428
558	5698	417
559	5705	407
560	5712	397
561	5719	386
562	5726	376
563	5733	365
564	5740	355
565	5748	345
566	5756	335
567	5765	324
568	5773	314
569	5780	304
570	5788	293
571	5796	283
572	5804	273
573	5811	263
574	5818	252
575	5825	242
576	5833	232
577	5841	222
578	5848	212
579	5856	201
580	5863	191
581	5870	181
582	5876	171
583	5883	161
584	5891	151
585	5898	140
586	5906	130
587	5912	120
588	5920	110
589	5926	100
590	5935	90
591	5943	80
592	5951	70
593	5971	60
594	5979	50
595	5988	40
596	5996	30
597	6001	20
598	6008	10
599	6016	0
