iter	CrossEntropy	Accuracy
629	0.3489385276	0.8241541353
630	0.3489071344	0.8241541353
631	0.3488832954	0.8241353383
632	0.3488353974	0.8242105263
633	0.3488078981	0.8242481203
634	0.3487839718	0.8243045113
635	0.3487496912	0.8242481203
636	0.3487229184	0.8242857143
637	0.348700543	0.8243421053
638	0.3486883731	0.8243984962
639	0.3486703344	0.8244172932
640	0.3486576501	0.8243233083
641	0.3486308223	0.8243609023
642	0.3486134979	0.8244924812
643	0.3485933338	0.8244924812
644	0.3485735058	0.8244924812
645	0.3485502429	0.8245112782
646	0.3485393321	0.8245112782
647	0.34852234	0.8244924812
648	0.3484844938	0.8245300752
649	0.3484613299	0.8245488722
650	0.3484304093	0.8245676692
651	0.3484105164	0.8246052632
652	0.348381511	0.8246052632
653	0.3483574038	0.8246052632
654	0.3483395501	0.8245300752
655	0.3483162018	0.8246052632
656	0.3482877734	0.8246240602
657	0.3482663062	0.8246804511
658	0.3482469227	0.8246240602
659	0.3482243739	0.8246428571
660	0.34820041	0.8246616541
661	0.3481788335	0.8246428571
662	0.3481528002	0.8247368421
663	0.3481325702	0.8247180451
664	0.3481047861	0.8247368421
665	0.3480830405	0.8247180451
666	0.3480611988	0.8247180451
667	0.3480358797	0.8246992481
668	0.3480252693	0.8246992481
669	0.3480052719	0.8246616541
670	0.3479761207	0.8246616541
671	0.3479556629	0.8246804511
672	0.3479227086	0.8247368421
673	0.3478861835	0.8248684211
674	0.3478619421	0.824906015
675	0.3478430652	0.824906015
676	0.3478186722	0.824924812
677	0.3477872728	0.825056391
678	0.3477572788	0.825075188
679	0.3477288235	0.825093985
680	0.3477059725	0.8251503759
681	0.3476842161	0.8251315789
682	0.3476704666	0.8251315789
683	0.3476348681	0.825075188
684	0.3476063243	0.825093985
685	0.3475859198	0.825093985
686	0.347549321	0.8251691729
687	0.3475203568	0.8252067669
688	0.3475043764	0.8252067669
689	0.347483933	0.8252631579
690	0.3474515162	0.8253195489
691	0.3474310604	0.8253195489
692	0.3474072389	0.8253007519
693	0.3473821878	0.8253007519
694	0.3473600882	0.8253947368
695	0.3473436635	0.8253571429
696	0.3473169395	0.8253383459
697	0.347282866	0.8254323308
698	0.3472516282	0.8253947368
699	0.3472235035	0.8254323308
700	0.3471906858	0.8254135338
701	0.3471602972	0.8254323308
702	0.3471395211	0.8254887218
703	0.3471209175	0.8255263158
704	0.3470880554	0.8255263158
705	0.3470700926	0.8255827068
706	0.3470478087	0.8255263158
707	0.3470357499	0.8255639098
708	0.3470246009	0.8255263158
709	0.3469955016	0.8255451128
710	0.346964883	0.8256203008
711	0.3469457825	0.8256766917
712	0.346916278	0.8256954887
713	0.3468882106	0.8257518797
714	0.346866342	0.8257518797
715	0.3468473906	0.8257142857
716	0.346827834	0.8256954887
717	0.3467968304	0.8256954887
718	0.3467688613	0.8256578947
719	0.3467522206	0.8256954887
720	0.3467254069	0.8257706767
721	0.3466980064	0.8258270677
722	0.3466767933	0.8258082707
723	0.3466622191	0.8258082707
724	0.346631012	0.8258082707
725	0.3466148639	0.8257894737
726	0.3465917122	0.8258646617
727	0.34656971	0.8259022556
728	0.3465470974	0.8258834586
729	0.346526076	0.8259210526
730	0.3465051106	0.8258646617
731	0.3464751961	0.8259022556
732	0.346460866	0.8259022556
733	0.3464374278	0.8259586466
734	0.3464240402	0.8259774436
735	0.3464071867	0.8260150376
736	0.3463812794	0.8260714286
737	0.3463522401	0.8260526316
738	0.3463297466	0.8260714286
739	0.3463079881	0.8260338346
740	0.3462873452	0.8260338346
741	0.3462695805	0.8261466165
742	0.3462369046	0.8261842105
743	0.3462187884	0.8262030075
744	0.3461909297	0.8262218045
745	0.3461672906	0.8261466165
746	0.3461427694	0.8261090226
747	0.3461232727	0.8261090226
748	0.3460957901	0.8260338346
749	0.3460763372	0.8260714286
750	0.3460562651	0.8261090226
751	0.3460313889	0.8261654135
752	0.3460054631	0.8261842105
753	0.3459910731	0.8262030075
754	0.3459797096	0.8261842105
755	0.3459549049	0.8261842105
756	0.3459328275	0.8261842105
757	0.3459110466	0.8261842105
758	0.3458943795	0.8261466165
759	0.3458724328	0.8261466165
760	0.3458462144	0.8262030075
761	0.3458190978	0.8261842105
762	0.3458035151	0.8261842105
763	0.3457822454	0.8262218045
764	0.3457485164	0.8262969925
765	0.3457213272	0.8263721805
766	0.3456980298	0.8262406015
767	0.3456781805	0.8262406015
768	0.3456468515	0.8262781955
769	0.3456205024	0.8262406015
770	0.345585757	0.8262406015
771	0.3455610549	0.8262406015
772	0.3455455781	0.8262593985
773	0.3455166373	0.8263157895
774	0.3454846431	0.8262969925
775	0.3454587876	0.8262969925
776	0.3454393667	0.8263909774
777	0.3454116272	0.8264097744
778	0.3453872585	0.8263909774
779	0.3453650436	0.8264097744
780	0.3453386423	0.8264849624
781	0.3453146405	0.8266165414
782	0.3452947362	0.8265789474
783	0.3452719317	0.8266353383
784	0.3452460892	0.8266541353
785	0.3452219506	0.8267105263
786	0.3451962546	0.8267105263
787	0.3451691112	0.8267481203
788	0.3451451397	0.8266541353
789	0.3451317743	0.8266729323
790	0.3451059359	0.8266729323
791	0.3450915902	0.8267105263
792	0.3450690622	0.8267481203
793	0.3450515005	0.8266917293
794	0.345034576	0.8266541353
795	0.3450140194	0.8266541353
796	0.3449959999	0.8266729323
797	0.3449771231	0.8268233083
798	0.3449585465	0.8268421053
799	0.3449369562	0.8268421053
800	0.3449212916	0.8268233083
801	0.3449045045	0.8268045113
802	0.3448800172	0.8268796992
803	0.3448613579	0.8268796992
804	0.3448399148	0.8269924812
805	0.3448132674	0.8268796992
806	0.3447932936	0.8269548872
807	0.3447628264	0.8268984962
808	0.344731482	0.8268421053
809	0.344715615	0.8269172932
810	0.3446826338	0.8268796992
811	0.3446620055	0.8268233083
812	0.3446499658	0.8268421053
813	0.3446311026	0.8268233083
814	0.3446093576	0.8268233083
815	0.3445844648	0.8269360902
816	0.3445548779	0.8269548872
817	0.3445290212	0.8269736842
818	0.3445032758	0.8270112782
819	0.3444812145	0.8270488722
820	0.3444622766	0.8269924812
821	0.3444473213	0.8269548872
822	0.3444181274	0.8269360902
